Garment,Fabric_Type,Fabric_m,Price_per_m,Material_Cost_ZAR,Total_Cost_ZAR
Dress,Cotton,3.0,80,240.0,327.49
Dress,Silk,3.2,150,480.0,540.57
Shirt,Linen,2.0,120,240.0,396.88
Shirt,Cotton,1.8,80,144.0,353.94
Suit,Wool,4.5,200,900.0,902.33
Suit,Polyester,4.0,120,480.0,536.33
Skirt,Cotton,2.5,80,200.0,360.18
Skirt,Silk,2.8,150,420.0,536.92
Trousers,Denim,2.2,100,220.0,204.57
Trousers,Cotton,2.0,80,160.0,284.95
Jacket,Leather,3.5,250,875.0,922.03
Jacket,Wool,3.2,200,640.0,677.85
Blouse,Silk,1.8,150,270.0,349.26
Blouse,Cotton,1.5,80,120.0,50.0
Dress,Linen,3.1,120,372.0,339.82
Suit,Wool,5.0,220,1100.0,1157.57
Shirt,Polyester,1.9,60,114.0,78.56
Skirt,Linen,2.6,120,312.0,392.72
Trousers,Wool,2.5,200,500.0,549.47
Jacket,Denim,3.0,100,300.0,292.42
Dress,Cotton,3.3,85,280.5,418.11
Dress,Silk,3.5,160,560.0,623.96
Shirt,Linen,2.1,130,273.0,344.1
Shirt,Cotton,1.7,75,127.5,55.98
Suit,Wool,4.8,210,1008.0,1002.92
Suit,Polyester,4.2,110,462.0,579.37
Skirt,Cotton,2.4,85,204.0,149.14
Skirt,Silk,2.9,155,449.5,513.85
Trousers,Denim,2.3,105,241.5,253.17
Trousers,Cotton,2.1,85,178.5,256.49
Jacket,Leather,3.6,260,936.0,987.59
Jacket,Wool,3.3,210,693.0,896.79
Blouse,Silk,1.9,155,294.5,318.48
Blouse,Cotton,1.6,85,136.0,110.18
Dress,Linen,3.0,125,375.0,470.08
Suit,Wool,5.2,230,1196.0,1194.87
Shirt,Polyester,2.0,65,130.0,225.76
Skirt,Linen,2.7,125,337.5,223.61
Trousers,Wool,2.6,210,546.0,518.76
Jacket,Denim,3.1,110,341.0,401.86
Dress,Cotton,3.4,90,306.0,393.73
Dress,Silk,3.6,170,612.0,674.93
Shirt,Linen,2.2,135,297.0,342.27
Shirt,Cotton,1.9,78,148.2,204.48
Suit,Wool,5.1,240,1224.0,1137.42
Suit,Polyester,4.3,115,494.5,528.17
Skirt,Cotton,2.6,90,234.0,304.24
Skirt,Silk,3.0,165,495.0,651.78
Trousers,Denim,2.4,110,264.0,357.93
Trousers,Cotton,2.2,90,198.0,106.95
Jacket,Leather,3.7,270,999.0,1131.46
Jacket,Wool,3.4,220,748.0,771.94
Blouse,Silk,2.0,165,330.0,323.91
Blouse,Cotton,1.7,90,153.0,265.16
Dress,Linen,3.2,130,416.0,517.81
Suit,Wool,5.3,250,1325.0,1504.28
Shirt,Polyester,2.1,70,147.0,122.67
Skirt,Linen,2.8,130,364.0,365.66
Trousers,Wool,2.7,220,594.0,708.0
Jacket,Denim,3.2,115,368.0,519.62
Dress,Cotton,3.5,95,332.5,379.34
Dress,Silk,3.7,180,666.0,688.99
Shirt,Linen,2.3,140,322.0,261.51
Shirt,Cotton,2.0,80,160.0,105.72
Suit,Wool,5.4,260,1404.0,1498.32
Suit,Polyester,4.4,120,528.0,727.35
Skirt,Cotton,2.7,95,256.5,283.07
Skirt,Silk,3.1,170,527.0,628.73
Trousers,Denim,2.5,115,287.5,377.79
Trousers,Cotton,2.3,95,218.5,203.81
Jacket,Leather,3.8,280,1064.0,1129.27
Jacket,Wool,3.5,230,805.0,1003.07
Blouse,Silk,2.1,170,357.0,408.3
Blouse,Cotton,1.8,95,171.0,389.08
Dress,Linen,3.3,135,445.5,301.79
Suit,Wool,5.5,270,1485.0,1585.03
Shirt,Polyester,2.2,75,165.0,210.57
Skirt,Linen,2.9,135,391.5,487.93
Trousers,Wool,2.8,230,644.0,704.92
Jacket,Denim,3.3,120,396.0,297.0
Dress,Cotton,2.8,82,229.6,280.02
Dress,Silk,3.0,155,465.0,554.95
Dress,Wool,3.4,210,714.0,868.53
Dress,Polyester,2.9,65,188.5,229.39
Shirt,Cotton,1.6,78,124.8,99.78
Shirt,Silk,1.9,160,304.0,356.13
Shirt,Wool,2.1,190,399.0,537.08
Shirt,Denim,2.0,105,210.0,318.81
Suit,Cotton,4.2,90,378.0,456.02
Suit,Linen,4.6,130,598.0,687.74
Suit,Silk,4.8,170,816.0,878.33
Suit,Denim,4.3,110,473.0,578.1
Skirt,Wool,2.7,200,540.0,576.02
